name,,full_address,latitude,longitude,city,state,zip_code,phone_number,website,google_maps_url,mailing_address,contact_person,email,Coords,Unnamed: 4,Unnamed: 5,Unnamed: 6,summary
ALDI,,"3743 Burbank Rd, Wooster, OH 44691, USA",40.8453952,-81.942878,Wooster,OH,44691,(855) 955-2534,https://stores.aldi.us/oh/wooster/3743-burbank-road?utm_source=google&utm_medium=local&utm_campaign=brand&utm_content=storepage_webclick,https://maps.google.com/?cid=11998414176609311934,,,,"40.8453952, -81.942878",,,,"ALDI at 3743 Burbank Rd in Wooster offers a streamlined shopping experience with everyday low prices on groceries and home goods. Known for its affordable quality, ALDI is perfect for budget-conscious shoppers and families looking for great deals on fresh produce, meats, and unique ALDI Finds. Stop by to discover savings and new limited-time items each week."
Alice Noble Ice Arena,,"851 Oldman Rd, Wooster, Ohio 44691.0",40.8373553,-81.9515363,,,,330-345-8686,,,,,,"40.8373553, -81.9515363",,,,"Discover the excitement at Alice Noble Ice Arena, Wooster's premier ice sports facility! This multi-purpose arena offers a variety of programs, including Learn to Skate, hockey leagues, figure skating, and public skating sessions, making it a fantastic destination for families, athletes, and recreational skaters alike. With a welcoming atmosphere and a commitment to fostering community, Alice Noble Ice Arena is the perfect place to enjoy the thrill of ice sports."
Amber Darlene Designs,,"27 Taylor St, West Salem, OH 44287, USA",40.975575,-82.1034297,West Salem,OH,44287,(330) 317-7800,http://www.amberdarlenedesigns.com/,https://maps.google.com/?cid=16474547661639379575,,,,"40.975575, -82.1034297",,,,"Looking for unique, handcrafted treasures? Amber Darlene Designs in West Salem is your destination for bespoke creations and charming home décor. This delightful shop offers a personalized shopping experience, perfect for those seeking one-of-a-kind gifts and distinctive items that add character to any space. Stop in and discover the artistry and passion behind Amber Darlene Designs!"
Ambolinas Flowers,,"15 W Main St, Dalton, OH 44618, USA",40.7986679,-81.695561,Dalton,OH,44618,(330) 317-3837,http://www.ambolinas.com/,https://maps.google.com/?cid=11488802222137158698,,,,"40.7986679, -81.695561",,,,"Ambolinas Flowers, located in Dalton, OH, specializes in providing custom floral arrangements and unique gifts for all occasions. With a focus on tailoring designs to fit specific needs and styles, they offer everything from seasonal centerpieces to wrapped bouquets, along with a variety of gift items like plush toys and greeting cards. Ideal for those seeking a personal touch and lasting impressions, Ambolinas ensures beautiful and memorable floral experiences for birthdays, weddings, and more."
"American Equipment Service, Inc.",,"8410 Shreve Rd, Shreve, OH 44676, USA",40.6972093,-82.0186116,Shreve,OH,44676,(330) 567-2620,http://www.americaneq.com/,https://maps.google.com/?cid=12767680183387600284,,,,"40.6972093, -82.0186116",,,,"Looking for top-quality equipment and service in Shreve, OH? American Equipment Service, Inc. offers a wide selection of tractors, farm equipment, and construction machinery, including JCB, Mahindra, and Stihl. Whether you need sales, leasing, parts, or service, their knowledgeable team is dedicated to providing exceptional customer support, making them the go-to destination for both agricultural and construction professionals."
American Legion,,"1901 Sylvan Rd, Wooster, OH 44691, USA",40.791575,-81.9108979,Wooster,OH,44691,(330) 263-1191,https://www.legion.org/,https://maps.google.com/?cid=3507805961012989324,,,,"40.791575, -81.9108979",,,,"The American Legion in Wooster, OH, is a hub for veterans and community members alike, fostering camaraderie and support. With a welcoming atmosphere, it's the perfect place for veterans to connect, share stories, and participate in events that honor their service. Stop by to experience the strong sense of community and learn more about their commitment to supporting veterans and the local area."
American Legion,,"220 E Sunset Dr, Rittman, OH 44270, USA",40.9810141,-81.774558,Rittman,OH,44270,,,https://maps.google.com/?cid=583141788553198491,,,,"40.9810141, -81.774558",,,,"The American Legion in Rittman, OH, is a community hub honoring veterans and fostering local camaraderie. This welcoming post offers a space for members, veterans, and their families to connect through various events and support programs. Ideal for those seeking to give back to veterans and support the Rittman community, it stands as a pillar of service and remembrance."
Amish Country Campsites,,"
1930 US Route 62, Winesburg, OH 44624-9644","40.62336424441986, ",81.68982633,,,,330-359-5226,,,,,,,,,,"Escape to Amish Country Campsites for a serene getaway surrounded by the charm of simpler times. Our campsites offer a peaceful retreat for families, nature enthusiasts, and anyone seeking a break from the hustle and bustle, with spacious grounds and modern amenities nestled near the heart of Amish country. Experience the beauty of the countryside, enjoy local attractions, and create lasting memories in a unique and welcoming environment."
Amish Door,,"1210 Winesburg St., Wilmot, Ohio 44689.0",40.654037,-81.639202,,,,330-359-5464,,,,,,"40.654037, -81.639202",,,,"Step into Amish Door, a charming restaurant in Wilmot, Ohio, that offers a delightful experience of traditional Amish cuisine and warm hospitality. With a diverse menu featuring broasted chicken, homemade pies, and family-style meals, it's a perfect destination for families and anyone seeking a cozy, comforting meal in a welcoming atmosphere. Experience the taste of Amish country and create lasting memories at Amish Door."
Amish Door Restaurant & Village,,"1210 Winesburg St., Wilmot, Ohio 44689.0",40.65503987,-81.63885348,,,,330-359-5456,,,,,,"40.655039872445705, -81.63885348267944",,,,"Step back in time at the Amish Door Restaurant & Village, where you can savor authentic Amish Country cooking in a cozy, inviting atmosphere. More than just a restaurant, it's a complete village experience with shopping, a bakery, and even a Victorian Inn, perfect for families and those seeking a peaceful retreat. Indulge in homestyle favorites and experience the charm of Amish hospitality."
Amish Outlet Store,,"6848 Hutton Rd, Smithville, OH 44677, USA",40.8835282,-81.8478361,Smithville,OH,44677,(330) 669-9919,https://www.amishoutletstore.com/,https://maps.google.com/?cid=16443637454741201026,,,,"40.8835282, -81.8478361",,,,"Discover handcrafted, solid wood furniture at Amish Outlet Store, where quality and tradition meet. Specializing in custom-made pieces crafted by skilled Amish artisans, the store offers a wide selection of furniture for every room, ensuring durability and timeless style. Perfect for those seeking heirloom-quality furnishings, a visit promises a unique opportunity to invest in authentic, American-made craftsmanship."
Amishlifestyle,,"406 N Mill St, Fredericksburg, OH 44627, USA",40.6797541,-81.8729925,Fredericksburg,OH,44627,(330) 201-3911,,https://maps.google.com/?cid=7843220827190904813,,,,"40.6797541, -81.8729925",,,,"Immerse yourself in the simple beauty and handcrafted treasures at Amishlifestyle, located in the heart of Fredericksburg. Discover a wide selection of Amish-made goods, from home décor to artisanal crafts, reflecting a commitment to quality and tradition. Perfect for those seeking unique, meaningful items and a glimpse into the serene Amish way of life."
Andio Sisters,,"140 S Walnut St, Wooster, OH 44691",40.79726687,-81.94114004,,,,,,,,,,"40.79726686709633, -81.94114004035954",,,,"Discover the heartwarming flavors of Andio Sisters, a restaurant in Wooster, Ohio, where Chef Gina crafts dishes with love and locally sourced ingredients, inspired by her Italian heritage. Perfect for families and anyone seeking a comforting, high-quality meal, Andio Sisters offers a unique culinary experience with gluten-free and vegan options, ensuring everyone feels welcome at their table. Visit them at Local Roots to savor breakfast wraps, cinnamon rolls, and the best wedding soup, and experience a true taste of home."
"Antique Collective, LLC",,"4057 Silver Road
Wooster, OH 44691
USA",40.81075203,-82.01100109,,,,234-301-9205,,,,,,"40.81075202614317, -82.0110010934313",,,,"Step back in time at Antique Collective, LLC, a treasure trove of unique and fascinating finds. Located in Wooster, OH, this antique shop offers a diverse collection of vintage furniture, collectibles, and rare artifacts, perfect for history buffs, interior designers, and anyone seeking a one-of-a-kind statement piece. Discover your next cherished heirloom at Antique Collective, LLC."
Anytime Fitness,,"301 W High St, Orrville, OH 44667, USA",40.8438691,-81.7671809,Orrville,OH,44667,(937) 450-1170,https://www.anytimefitness.com/gyms/5253/orrville-oh-44667/?utm_source=google&utm_medium=organic-businesslisting&utm_campaign=gbp-listing&utm_content=5253,https://maps.google.com/?cid=17422081287948468377,,,,"40.8438691, -81.7671809",,,,"Reach your health and wellness goals at Anytime Fitness in Orrville! This locally owned and operated gym offers a supportive community with expert coaches, personalized plans, and 24/7 access to thousands of locations worldwide. Ideal for anyone seeking a convenient and welcoming fitness environment, start your journey today with a free consultation."
Apple Creek Drive Thru,,"23 E Main St, Apple Creek, OH 44606, USA",40.7491446,-81.8355065,Apple Creek,OH,44606,(330) 698-1211,,https://maps.google.com/?cid=4720450919377342298,,,,"40.7491446, -81.8355065",,,,"Craving a quick bite and a cold beverage? Apple Creek Drive Thru offers fast and friendly service with a focus on beer, pizza and other convenient food options. Located on Main Street, it's perfect for locals and travelers looking for a speedy lunch, dinner, or a refreshing drink on the go."
Apple Creek Historical Society,,"185 Church St, Apple Creek, OH 44606",40.7558402,-81.83952583,,,,,,,,,,"40.755840200773456, -81.8395258314218",,,,"Step back in time at the Apple Creek Historical Society, a vibrant community learning center dedicated to preserving the rich history of East Union Township. With exhibits, a library, and a makerspace featuring a wood shop and 3D printers, it's perfect for history buffs, researchers, and families looking to explore the past and create the future. Visit to discover local heritage and participate in engaging programs."
Apple Creek Park,,"Park St, Apple Creek, OH 44606, USA",40.7508816,-81.8306262,Apple Creek,OH,44606,,,https://maps.google.com/?cid=9770596780372665841,,,,"40.7508816, -81.8306262",,,,"Nestled in the heart of Apple Creek, Apple Creek Park offers a serene escape for families and nature enthusiasts alike. With well-maintained green spaces, playground equipment, and walking trails, it's the perfect spot for a relaxing afternoon, a family picnic, or a fun day of outdoor activities. This charming park provides a welcoming environment for both locals and visitors seeking a peaceful retreat in a community setting."
Apple Creek Surplus,,"4895 Criswell Rd, Apple Creek, OH 44606, USA",40.7402961,-81.8246504,Apple Creek,OH,44606,,,https://maps.google.com/?cid=14848455645962064720,,,,"40.7402961, -81.8246504",,,,"Discover incredible deals at Apple Creek Surplus, located at 4895 Criswell Rd, Apple Creek, OH 44606, where you can find a wide selection of tools, furniture, toys, baby items, and more. Perfect for bargain hunters and those looking for unique finds, this surplus store offers impressive pricing on name-brand items and an ever-changing inventory. Visit soon to explore their collection of surplus items and take advantage of the deals!"
Apple Creek Trails,,"Richenbaugh Ave, Apple Creek, OH 44606, USA",40.7508607,-81.8411344,Apple Creek,OH,44606,(330) 317-7132,,https://maps.google.com/?cid=5855077889741257094,,,,"40.7508607, -81.8411344",,,,"Escape the everyday and discover the natural beauty of Apple Creek Trails, located on Richenbaugh Ave in Apple Creek, OH. Perfect for families, nature enthusiasts, and anyone seeking a peaceful outdoor experience, these trails offer a serene environment for walking, running, and enjoying the countryside. Explore the scenic paths and immerse yourself in the tranquility of Apple Creek."
Applewood Village Community Center,,"1901 Apple Orchard Dr, Wooster, OH 44691, USA",40.7758872,-81.9253881,Wooster,OH,44691,(330) 287-7504,http://housing.osu.edu/,https://maps.google.com/?cid=3255536661086480195,,,,"40.7758872, -81.9253881",,,,"Discover a vibrant hub at Applewood Village Community Center, located at 1901 Apple Orchard Dr in Wooster. This center offers versatile spaces for meetings, events, and community gatherings, fostering connections among residents and local organizations. Ideal for students, families, and anyone seeking a welcoming environment, Applewood Village Community Center is your go-to destination for engagement and enrichment."
Arrol Arms LLC,,"8239 Palmer Rd, West Salem, OH 44287, USA",40.9381133,-82.0791636,West Salem,OH,44287,(330) 466-6681,"https://armsads.com/my-profile/arrolarms,1258",https://maps.google.com/?cid=7935561089645886531,,,,"40.9381133, -82.0791636",,,,"For firearm enthusiasts and collectors, Arrol Arms LLC in West Salem offers a trusted source for buying and transferring guns. As a licensed FFL dealer, they provide a professional and secure environment for all your firearm needs. Visit Arrol Arms for a reliable and knowledgeable experience in the world of firearms."
Artfind Tile,,"143 S Market St, Wooster, Ohio 44691.0",40.7973152,-81.9400159,,,,330-264-7706,,,,,,"40.7973152, -81.94001589999999",,,,"Discover unique and handcrafted tiles at Artfind Tile, a gallery representing over 55 artisan studios with American and imported tile and stone. Located in Wooster, Ohio, they offer professional design services and a stunning collection of hand-painted art tiles perfect for homeowners, designers, and anyone seeking distinctive materials for their projects. Experience the artistry and transform your space with Artfind Tile."
Artiflex,,"1425 E Bowman St, Wooster, OH 44691",40.80382537,-81.92106215,,,,,,,,,,"40.803825368724084, -81.92106214544908",,,,"Located in Wooster, Ohio, Artiflex is a leading manufacturing company specializing in automotive sheet metal body panels through stamping and assembly. With a commitment to innovation and problem-solving, Artiflex caters to major automotive manufacturers like Ford, Chrysler, and BMW. If you're seeking a reliable partner for low volume stamping, welding, and assembly, Artiflex delivers quality and excellence."
Ashery Country Store,,"8922 OH-241, Fredericksburg, Ohio 44627.0",40.6535991,-81.7647567,,,,330-359-5615,,,,,,"40.6535991, -81.76475669999999",,,,"Step back in time and savor the simple life at Ashery Country Store, an Amish grocery and bulk food store. Here you'll find a delightful array of locally sourced deli meats and cheeses, fresh produce, and a vast selection of bulk foods perfect for stocking your pantry with quality ingredients. Ideal for families, cooking enthusiasts, and anyone seeking an authentic taste of Amish country, Ashery Country Store promises a unique and flavorful shopping experience."
Ashery Country Store Inc.,,"8922 OH-241, Fredericksburg, OH 44627",40.65349531,-81.76480326,,,,330-359-5615,,,,,,"40.65349530640954, -81.7648032634785",,,,"Step back in time at Ashery Country Store, a beloved Amish bulk food store since 1979, offering a wide selection of deli meats, cheeses, fresh produce, and over 3,000 unique bulk food items. Known as the ""grandma of bulk food stores"", Ashery Country Store provides a unique shopping experience with friendly service and quality products, perfect for those seeking a taste of Ohio's Amish Country. Visit to explore aisles of baking supplies, candies, spices, and more, and experience a simpler way of life."
Asian Wok,,"3786 Burbank Rd #350, Wooster, OH 44691, USA",40.8445054,-81.9454682,Wooster,OH,44691,(330) 263-1006,https://www.asianwokwooster.com/,https://maps.google.com/?cid=3989801768748239616,,,,"40.8445054, -81.9454682",,,,"Craving authentic Chinese cuisine? Asian Wok in Wooster offers a diverse menu of flavorful dishes, from General Tso's chicken to savory dumplings, all prepared with fresh ingredients. With a casual and friendly atmosphere, it's perfect for families, quick meals, and anyone looking for a delicious and satisfying Asian dining experience. Stop by and taste the best of Asian Wok today!"
Aspen Racquet Club,,"850 Venture Blvd, Wooster, OH 44691, USA",40.8083419,-81.9697036,Wooster,OH,44691,(330) 439-5004,http://arcwooster.com/,https://maps.google.com/?cid=1871440549678412416,,,,"40.8083419, -81.9697036",,,,"Aspen Racquet Club is a premier indoor tennis and pickleball facility in Wooster, Ohio, catering to players of all ages and skill levels. With six indoor Rebound Ace courts, a dedicated fitness center, and options for golf simulation, it's the perfect place for athletes and families to improve their game and stay active year-round. The club also fosters a welcoming community atmosphere, making it ideal for those seeking both instruction and social connection."
ATI ,,"1328 Dover Rd, Wooster, OH 44691",40.77482285,-81.92335505,,,,,,,,,,"40.774822850583945, -81.92335504838073",,,,"Located at 1328 Dover Rd in Wooster, Ohio, ATI (Agricultural Technical Institute) is a branch of The Ohio State University, offering associate degree programs. With a focus on agricultural education and hands-on experience, ATI is perfect for students seeking affordable and accessible programs that directly lead to employment or further education in agricultural and environmental sciences. Discover your potential at this amazing college and begin your journey today!"
ATI Poultry Services,,"1745 Gossard Dr, Wooster, OH 44691, USA",40.7781058,-81.9220463,Wooster,OH,44691,,,https://maps.google.com/?cid=3935840454638546239,,,,"40.7781058, -81.9220463",,,,"ATI Poultry Services in Wooster, OH, is a dedicated provider of top-notch poultry services, ensuring the health and productivity of your flocks. Specializing in [insert specific services if known, e.g., vaccination programs, disease prevention, and nutritional guidance], they cater to poultry farmers and agricultural businesses seeking reliable expertise. With a commitment to quality and customer satisfaction, ATI Poultry Services is your trusted partner for a thriving poultry operation."
Aultman Orrville Hospital,,"832 S Main St, Orrville, OH 44667, USA",40.8317204,-81.7636576,Orrville,OH,44667,(330) 682-3010,http://www.aultmanorrville.org/,https://maps.google.com/?cid=17313093853822465612,,,,"40.8317204, -81.7636576",,,,"For over 70 years, Aultman Orrville Hospital has provided exceptional healthcare to the Orrville and Wayne County community. This 25-bed critical access facility offers a wide array of services, including emergency care, surgical services, and a family birth center, all with a close-to-home convenience. Ideal for families and individuals seeking personalized and comprehensive medical care, Aultman Orrville combines advanced technology with a compassionate touch."
Aultman Orrville Sports & Wellness,,"365 S Crown Hill Rd, Orrville, OH 44667, USA",40.8352562,-81.7849139,Orrville,OH,44667,(330) 684-4732,http://www.aultmanorrville.org/ourservices/programs/sports-wellness,https://maps.google.com/?cid=13085829643386474495,,,,"40.8352562, -81.7849139",,,,"Embark on a journey to a healthier you at Aultman Orrville Sports & Wellness, where personalized fitness meets comprehensive wellness programs. This state-of-the-art facility offers everything from personalized exercise plans to weight management services, perfect for individuals of all fitness levels seeking a supportive and medically integrated approach to well-being. Whether you're looking to improve your athletic performance, manage a chronic condition, or simply enhance your overall health, Aultman Orrville Sports & Wellness provides the expert guidance and resources you need to achieve your goals."
Aunt Bea's Attic,,"12 E Buckeye St, West Salem, OH 44287, USA",40.9726674,-82.1090666,West Salem,OH,44287,(567) 212-1091,http://auntbeasattic.com/,https://maps.google.com/?cid=4593875018512519789,,,,"40.9726674, -82.1090666",,,,"Step into Aunt Bea's Attic, a charming family-run business in West Salem, Ohio, where creativity and unique finds meet. This delightful shop offers a wide variety of products, including DIY supplies, clothing, and home decor, perfect for those who love to craft, decorate, or find that special something. With a friendly atmosphere and a supportive community, Aunt Bea's Attic is a haven for inspiration and beautiful creations."
Auntie Anne's,,"3883 Burbank Rd Suite 1, Wooster, OH 44691, USA",40.8476214,-81.9415511,Wooster,OH,44691,(330) 345-4110,https://locations.auntieannes.com/oh/wooster/3883-burbank-rd?utm_source=google&utm_medium=organic&utm_campaign=locations_partner,https://maps.google.com/?cid=12416359223231950037,,,,"40.8476214, -81.9415511",,,,"Craving a warm, hand-rolled pretzel? Visit Auntie Anne's in Wooster, located at 3883 Burbank Rd inside Walmart, for a delicious snack and refreshing drinks. Perfect for shoppers and pretzel lovers of all ages, Auntie Anne's offers a variety of sweet and savory pretzels, from classic twists to bite-sized nuggets, all baked fresh and brushed with buttery goodness."
