name,category,full_address,latitude,longitude,city,state,zip_code,phone_number,website,google_maps_url,mailing_address,contact_person,email
Local Roots Market & Café,restaurant,"140 S Walnut St, Wooster, OH 44691, USA",40.79722220000001,-81.9411111,Wooster,OH,44691,(330) 263-5336,http://www.localrootswooster.com/,https://maps.google.com/?cid=7424488131517633858,,,
El Tapatio Mexican Restaurant,restaurant,"3860 Cleveland Rd, Wooster, OH 44691, USA",40.84666660000001,-81.9283517,Wooster,OH,44691,(330) 601-1100,http://www.eltapatiowooster.com/,https://maps.google.com/?cid=15668695074734549455,,,
Coccia House,restaurant,"764 Pittsburgh Ave, Wooster, OH 44691, USA",40.7984014,-81.92849210000001,Wooster,OH,44691,(330) 262-7136,http://www.cocciahouse.com/,https://maps.google.com/?cid=14786207274881868416,,,
Grigio Wine & Cocktail Bar,restaurant,"211 S Market St, Wooster, OH 44691, USA",40.7966601,-81.9397192,Wooster,OH,44691,(330) 804-0198,https://www.grigiowooster.com/,https://maps.google.com/?cid=4078316494666152070,,,
C. W. Burgerstein’s,restaurant,"359 W Liberty St, Wooster, OH 44691, USA",40.79767469999999,-81.94467120000002,Wooster,OH,44691,(330) 264-8165,http://www.tjsrestaurants.com/,https://maps.google.com/?cid=11029082919114755576,,,
El Campesino,restaurant,"177 W Milltown Rd C, Wooster, OH 44691, USA",40.8441876,-81.9418658,Wooster,OH,44691,(330) 345-6263,https://campesinowooster.com/,https://maps.google.com/?cid=13315648335640788827,,,
BayLobsters Café & Fish Market,restaurant,"3423 Cleveland Rd, Wooster, OH 44691, USA",40.84179899999999,-81.92888599999999,Wooster,OH,44691,(330) 601-1200,https://www.baylobsterswooster.com/,https://maps.google.com/?cid=3128959669555423908,,,
Dravenstott's Restaurant,restaurant,"410 W High St, Orrville, OH 44667, USA",40.843219,-81.768892,Orrville,OH,44667,(330) 682-0776,http://www.dravenstotts.com/,https://maps.google.com/?cid=10836858773446420693,,,
Red Lobster,restaurant,"WAYNE TOWNE PLAZA, 3805 Burbank Rd, Wooster, OH 44691, USA",40.84611599999999,-81.943466,Wooster,OH,44691,(330) 345-4005,https://www.redlobster.com/seafood-restaurants/locations/oh/wooster/3805-burbank-road,https://maps.google.com/?cid=10338667932248487439,,,
Applebee's Grill + Bar,restaurant,"3989 Burbank Rd, Wooster, OH 44691, USA",40.848364,-81.94493899999999,Wooster,OH,44691,(330) 345-8900,https://restaurants.applebees.com/en-us/oh/wooster/3989-burbank-road-88031?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=88031&utm_content=website,https://maps.google.com/?cid=10078574945386048718,,,
Gionino's Pizzeria,restaurant,"120 N Buckeye St, Wooster, OH 44691, USA",40.7989056,-81.9386177,Wooster,OH,44691,(330) 262-0093,http://www.gioninos.com/,https://maps.google.com/?cid=4738077828635079330,,,
Des Dutch Essenhaus,restaurant,"176 N Market St, Shreve, OH 44676, USA",40.6819824,-82.0222012,Shreve,OH,44676,(330) 567-2212,https://desdutchessenhaus.com/,https://maps.google.com/?cid=8247758690223158117,,,
Pho Bar,restaurant,"322 W Liberty St, Wooster, OH 44691, USA",40.7972773,-81.94363229999999,Wooster,OH,44691,(330) 601-0017,http://woosterphobar.uorder.io/,https://maps.google.com/?cid=9371295692483067624,,,
Spoon Bar & Deli,restaurant,"144 W Liberty St, Wooster, OH 44691, USA",40.79784489999999,-81.94117709999999,Wooster,OH,44691,(330) 262-0880,https://www.spoonbaranddeli.com/,https://maps.google.com/?cid=6627229537908523543,,,
Omahoma Bobs BBQ,restaurant,"128 S Market St, Wooster, OH 44691, USA",40.79769099999999,-81.939371,Wooster,OH,44691,(330) 262-9871,http://www.omahomabobsbbq.com/,https://maps.google.com/?cid=13123715898776433206,,,
Undergrounds Café & Coffee House,restaurant,"146 E Liberty St, Wooster, OH 44691, USA",40.7984864,-81.938812,Wooster,OH,44691,(330) 804-8400,http://www.undergrounds.cafe/,https://maps.google.com/?cid=7133527847288947414,,,
Pine Tree Barn,restaurant,"4374 Shreve Rd, Wooster, OH 44691, USA",40.7448981,-81.98394809999999,Wooster,OH,44691,(330) 264-1014,https://www.pinetreebarn.com/,https://maps.google.com/?cid=18406055565291297285,,,
Gigi's Diner,restaurant,"1 N Main St, Marshallville, OH 44645, USA",40.900989,-81.7338947,Marshallville,OH,44645,(330) 855-5422,,https://maps.google.com/?cid=11474541977337866060,,,
Basil Asian Bistro,restaurant,"145 W Liberty St, Wooster, OH 44691, USA",40.7981303,-81.9412954,Wooster,OH,44691,(330) 601-0885,http://www.basilasianrestaurant.com/,https://maps.google.com/?cid=6809034873068884593,,,
Orrville Sports Pub,restaurant,"219 Hostetler Rd, Orrville, OH 44667, USA",40.8548531,-81.7659272,Orrville,OH,44667,(330) 571-0043,,https://maps.google.com/?cid=14104537870106634561,,,
Que Pasa,restaurant,"525 N Main St, Orrville, OH 44667, USA",40.84498059999999,-81.7645361,Orrville,OH,44667,(330) 683-0083,http://quepasaorrville.com/,https://maps.google.com/?cid=11700518506781701604,,,
Wild Ginger China Bistro,restaurant,"3694 Burbank Rd, Wooster, OH 44691, USA",40.844275,-81.943599,Wooster,OH,44691,(330) 345-6388,,https://maps.google.com/?cid=15385440184806736391,,,
Old Carolina Barbecue Company,restaurant,"1330 N Main St, Orrville, OH 44667, USA",40.8546218,-81.762886,Orrville,OH,44667,(330) 930-0300,https://oldcarolina.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,https://maps.google.com/?cid=10826375633289522667,,,
Lincoln Tavern,restaurant,"847 E Bowman St, Wooster, OH 44691, USA",40.80462339999999,-81.9281736,Wooster,OH,44691,(330) 264-3344,,https://maps.google.com/?cid=13760327840937047808,,,
"Lionsgate Pizza, Ice Cream & Deli",restaurant,"3355 S Columbus Rd, Wooster, OH 44691, USA",40.7590468,-81.9913048,Wooster,OH,44691,(330) 347-8773,,https://maps.google.com/?cid=11674839113302539390,,,
"The Golden Bear - Apple Creek, OH",restaurant,"546 W Main St, Apple Creek, OH 44606, USA",40.7547222,-81.8427778,Apple Creek,OH,44606,(330) 698-1423,https://www.facebook.com/thegoldenbearac,https://maps.google.com/?cid=4076202878998539645,,,
Oma Gourd - Handcrafted Tacos,restaurant,"140 S Walnut St, Wooster, OH 44691, USA",40.7972613,-81.9411401,Wooster,OH,44691,,http://omagourd.com/,https://maps.google.com/?cid=15264494454828761383,,,
Asian Wok,restaurant,"3786 Burbank Rd #350, Wooster, OH 44691, USA",40.8445054,-81.9454682,Wooster,OH,44691,(330) 263-1006,https://www.asianwokwooster.com/,https://maps.google.com/?cid=3989801768748239616,,,
Mrs J's,restaurant,"114 N Main St, Orrville, OH 44667, USA",40.8409278,-81.7641539,Orrville,OH,44667,(330) 683-0666,,https://maps.google.com/?cid=9411297147874744352,,,
Salsaroja Bar and Grill,restaurant,"150 W Liberty St, Wooster, OH 44691, USA",40.79782720000001,-81.9412742,Wooster,OH,44691,(330) 804-0010,http://salsarojabar.com/,https://maps.google.com/?cid=17318788078769079592,,,
Bob Evans,restaurant,"550 Robinson Rd, Wooster, OH 44691, USA",40.7884594,-81.9331562,Wooster,OH,44691,(330) 264-5799,https://www.bobevans.com/locations/wooster?utm_source=google&utm_medium=local&utm_campaign=119-Wooster-OH,https://maps.google.com/?cid=11444330798868924229,,,
Dutch Kitchen,restaurant,"14278 Lincoln Way E, Dalton, OH 44618, USA",40.8014708,-81.7277232,Dalton,OH,44618,(330) 683-0530,https://www.dutchkitchen.net/,https://maps.google.com/?cid=970974767560064711,,,
Buffalo Wild Wings,restaurant,"4122 Burbank Rd, Wooster, OH 44691, USA",40.8489574,-81.94883589999999,Wooster,OH,44691,(330) 264-2299,https://www.buffalowildwings.com/locations/us/oh/wooster/4122-burbank-road/sports-bar-1355?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link,https://maps.google.com/?cid=15061407455566405715,,,
Romeo's Pizza,restaurant,"840 E Milltown Rd, Wooster, OH 44691, USA",40.8414726,-81.92872609999999,Wooster,OH,44691,(330) 345-1530,https://locations.romeospizza.com/wooster/,https://maps.google.com/?cid=10300702687626736477,,,
Cardtronics ATM,atm,"2349 Akron Rd, Wooster, OH 44691, USA",40.828026,-81.907831,Wooster,OH,44691,(330) 262-0924,,https://maps.google.com/?cid=9452246348854170757,,,
ATM,atm,"825 Dover Rd, Wooster, OH 44691, USA",40.77636379999999,-81.9294754,Wooster,OH,44691,,,https://maps.google.com/?cid=12348044262461970898,,,
Chase ATM,atm,"141 N Walnut St, Wooster, OH 44691, USA",40.79895920000001,-81.9413786,Wooster,OH,44691,(800) 935-9935,https://locator.chase.com/?jp_cmp=rb%2FLocalListings%2Faff%2Fatm%2Fna&y_source=1_MTIyOTQyNzgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://maps.google.com/?cid=4387658181896390559,,,
PNC ATM,atm,"112 W Liberty St, Wooster, OH 44691, USA",40.7979193,-81.9404133,Wooster,OH,44691,(888) 762-2265,https://apps.pnc.com/locator/location-details/ohio/wooster/44691/PJ7329/public-squarewooster-tww?lnksrc=atm-listing-google,https://maps.google.com/?cid=9470691293870132418,,,
ATM,atm,"4192 Burbank Rd, Wooster, OH 44691, USA",40.850541,-81.9475281,Wooster,OH,44691,,,https://maps.google.com/?cid=10796793125404264362,,,
ATM,atm,"Portage Square Shopping Center, 1931 Portage Rd, Wooster, OH 44691, USA",40.8281303,-81.9119795,Wooster,OH,44691,,,https://maps.google.com/?cid=14829613315094574759,,,
ATM,atm,"1058 W Old Lincoln Way, Wooster, OH 44691, USA",40.7989646,-81.9546654,Wooster,OH,44691,,,https://maps.google.com/?cid=15066966933415443992,,,
PNC ATM,atm,"3540 Burbank Rd, Wooster, OH 44691, USA",40.8427478,-81.94458929999999,Wooster,OH,44691,(888) 762-2265,https://apps.pnc.com/locator/location-details/ohio/wooster/44691/PJ0684/buehlers-milltown-isl-c?lnksrc=atm-listing-google,https://maps.google.com/?cid=13122650794694576925,,,
ATM (Circle K),atm,"134 S Main St, Creston, OH 44217, USA",40.98262980000001,-81.8965621,Creston,OH,44217,,,https://maps.google.com/?cid=9780475652510403892,,,
ATM,atm,"2258 Eagle Pass, Wooster, OH 44691, USA",40.8267663,-81.90473080000001,Wooster,OH,44691,,,https://maps.google.com/?cid=16492857102312127646,,,
ATM,atm,"2024 Millersburg Rd, Wooster, OH 44691, USA",40.7749476,-81.9290695,Wooster,OH,44691,,,https://maps.google.com/?cid=3052331172326078519,,,
ATM,atm,"329 S Market St, Wooster, OH 44691, USA",40.7950013,-81.9393856,Wooster,OH,44691,(330) 289-8751,,https://maps.google.com/?cid=17244647894992504075,,,
Cardtronics ATM,atm,"134 S Main St, Creston, OH 44217, USA",40.98262980000001,-81.8965621,Creston,OH,44217,(800) 786-9666,http://locator.cardtronics.com/index.aspx,https://maps.google.com/?cid=17106340342372535299,,,
Woodforest National Bank ATM,atm,"3883 Burbank Rd, Wooster, OH 44691, USA",40.8476177,-81.94159359999999,Wooster,OH,44691,,https://www.woodforest.com/,https://maps.google.com/?cid=3877738659154973371,,,
ATM,atm,"404 W Main St, Wilmot, OH 44689, USA",40.6564278,-81.6342253,Wilmot,OH,44689,(330) 359-6247,,https://maps.google.com/?cid=8881095818892026612,,,
Huntington Bank,atm,"142 N Bever St, Wooster, OH 44691, USA",40.79956899999999,-81.9373346,Wooster,OH,44691,(330) 262-3676,https://www.huntington.com/Community/branch-info?locationId=23928&cmpid=seo:local_listings:branch_info:na,https://maps.google.com/?cid=16396148016406127615,,,
PNC ATM,atm,"1776 Beall Ave, Wooster, OH 44691, USA",40.8210322,-81.9347269,Wooster,OH,44691,(888) 762-2265,https://apps.pnc.com/locator/location-details/ohio/wooster/44691/PJ7297/beall-twd?lnksrc=atm-listing-google,https://maps.google.com/?cid=1210937886164482301,,,
ATM,atm,"121 N Main St, Creston, OH 44217, USA",40.98457049999999,-81.8943654,Creston,OH,44217,,,https://maps.google.com/?cid=6498259794303635420,,,
Huntington Bank ATM (Walk Up),atm,"135 E Liberty St, Wooster, OH 44691, USA",40.7980641,-81.93896029999999,Wooster,OH,44691,(800) 480-2265,https://www.huntington.com/branchlocator,https://maps.google.com/?cid=6796160693145849934,,,
ATM (Stop'n Go),atm,"228 S Main St, Creston, OH 44217, USA",40.97480049999999,-81.899697,Creston,OH,44217,,,https://maps.google.com/?cid=8968533069898188214,,,
Cardtronics,atm,"1955 Cleveland Rd, Wooster, OH 44691, USA",40.8236145,-81.9333817,Wooster,OH,44691,,http://www.cardtronics.com/about/,https://maps.google.com/?cid=17418038530245966261,,,
Huntington Bank ATM (Drive-Up),atm,"3754 Burbank Rd, Wooster, OH 44691, USA",40.8449592,-81.9441686,Wooster,OH,44691,(800) 480-2265,https://www.huntington.com/branchlocator,https://maps.google.com/?cid=10460522582879225496,,,
Huntington Bank ATM (Drive-Up),atm,"142 N Bever St, Wooster, OH 44691, USA",40.7995805,-81.9373402,Wooster,OH,44691,(800) 480-2265,https://www.huntington.com/branchlocator,https://maps.google.com/?cid=15500616335332177937,,,
The Commercial & Savings Bank,atm,"3562 Commerce Pkwy, Wooster, OH 44691, USA",40.8428924,-81.9474829,Wooster,OH,44691,(330) 345-2031,https://www.csb1.com/,https://maps.google.com/?cid=3110400867641520815,,,
ATM,atm,"15974 E Main St, Mt Eaton, OH 44659, USA",40.6941193,-81.7004822,Mount Eaton,OH,44659,,,https://maps.google.com/?cid=1726517121597313385,,,
Wayne County Community Federal Credit Union,atm,"100 W Market St, Orrville, OH 44667, USA",40.8405382,-81.7644384,Orrville,OH,44667,(330) 682-2117,http://www.wccfcu.com/,https://maps.google.com/?cid=1232483538548499615,,,
PNC ATM,atm,"336 N Market St, Wooster, OH 44691, USA",40.8013476,-81.9414448,Wooster,OH,44691,(888) 762-2265,https://apps.pnc.com/locator/location-details/ohio/wooster/44691/LK713306/buehler-food-mkt?lnksrc=atm-listing-google,https://maps.google.com/?cid=8534081950513647524,,,
Main Street Bank,atm,"151 N Market St, Wooster, OH 44691, USA",40.799311,-81.93983,Wooster,OH,44691,(330) 264-5767,http://mymainstreetbank.bank/,https://maps.google.com/?cid=5198162833317944114,,,
PNC ATM,atm,"101 W Market St, Orrville, OH 44667, USA",40.8408349,-81.7646635,Orrville,OH,44667,(888) 762-2265,https://apps.pnc.com/locator/location-details/ohio/orrville/44667/PX1859/orrville-west-island?lnksrc=atm-listing-google,https://maps.google.com/?cid=5819516478652979479,,,
PNC Bank,atm,"112 W Liberty St, Wooster, OH 44691, USA",40.79799,-81.94028999999999,Wooster,OH,44691,(330) 264-1222,https://apps.pnc.com/locator/location-details/ohio/wooster/44691/00434070/public-squarewooster?lnksrc=branch-listing-google,https://maps.google.com/?cid=12287270240131561245,,,
ATM,atm,"333 W South St, Shreve, OH 44676, USA",40.6800985,-82.0257707,Shreve,OH,44676,,,https://maps.google.com/?cid=3819482284156156669,,,
ATM,atm,"637 E Main St, Smithville, OH 44677, USA",40.8676557,-81.8519511,Smithville,OH,44677,(330) 669-2231,http://www.pizzabysam.com/,https://maps.google.com/?cid=5498422325416176593,,,
ATM,atm,"153 E Main St, Smithville, OH 44677, USA",40.86362279999999,-81.85869129999999,Smithville,OH,44677,,,https://maps.google.com/?cid=8953712635158303369,,,
ATM,atm,"S Mill St, Dalton, OH 44618, USA",40.79544509999999,-81.69500529999999,Dalton,OH,44618,,,https://maps.google.com/?cid=13712303827958873077,,,
Citizens ATM,atm,"214 High St, Wadsworth, OH 44281, USA",41.0285531,-81.73029059999999,Wadsworth,OH,44281,(330) 334-2591,https://www.citizensbank.com/search/answers.aspx?query=ATM&referrerPageUrl=https%3A%2F%2Flocations.citizensbank.com%2F&tabOrder=.%2Findex.html%2Clocations%2CFAQ%2Chelp_articles%2Cinvestors_bank_resources%2Chsbc_resources%2Cproducts&facetFilters=%7B%7D&filters=%7B%7D&verticalUrl=locations.html,https://maps.google.com/?cid=9840566239704616979,,,
Apple Creek Banking Co,atm,"3 W Main St, Apple Creek, OH 44606, USA",40.749212,-81.83630199999999,Apple Creek,OH,44606,(330) 698-2631,https://www.applecreekbank.com/,https://maps.google.com/?cid=17612211924849180389,,,
PNC ATM,atm,"1052 High St, Wadsworth, OH 44281, USA",41.05122149999999,-81.72928189999999,Wadsworth,OH,44281,(888) 762-2265,https://apps.pnc.com/locator/location-details/ohio/wadsworth/44281/PX2050/wadsworth-drive-up-island?lnksrc=atm-listing-google,https://maps.google.com/?cid=10583102825176582306,,,
Huntington Bank,atm,"135 E Liberty St, Wooster, OH 44691, USA",40.7980641,-81.93896029999999,Wooster,OH,44691,(330) 263-3230,https://www.huntington.com/Community/branch-info?locationId=23440&cmpid=seo:local_listings:branch_info:na,https://maps.google.com/?cid=2234381425851718499,,,
ATM,atm,"11977 Lincoln Way E, Orrville, OH 44667, USA",40.7955555,-81.7658089,Orrville,OH,44667,,,https://maps.google.com/?cid=8345585943071028157,,,
Wayne County Community Federal Credit Union,atm,"311 Kaufmann Dr, Smithville, OH 44677, USA",40.86348630000001,-81.8653942,Smithville,OH,44677,(330) 669-2117,https://www.wccfcu.com/,https://maps.google.com/?cid=16557579432112572825,,,
ATM,atm,"237 E Market St, Orrville, OH 44667, USA",40.8409423,-81.7624273,Orrville,OH,44667,,,https://maps.google.com/?cid=2100061289037489309,,,
Huntington Bank ATM (Drive-Up),atm,"215 Hostetler Rd, Orrville, OH 44667, USA",40.854191,-81.765446,Orrville,OH,44667,(800) 480-2265,https://www.huntington.com/branchlocator,https://maps.google.com/?cid=1961446860479827004,,,
PNC Bank,atm,"1776 Beall Ave, Wooster, OH 44691, USA",40.8211057,-81.9348186,Wooster,OH,44691,(330) 264-9038,https://apps.pnc.com/locator/location-details/ohio/wooster/44691/00418070/beall?lnksrc=branch-listing-google,https://maps.google.com/?cid=18298526549962423388,,,
ATM,atm,"1353 Reimer Rd, Wadsworth, OH 44281, USA",41.0557432,-81.7362921,Wadsworth,OH,44281,,,https://maps.google.com/?cid=17945389147706360390,,,
ATM,atm,"12527 Sheets Rd, Rittman, OH 44270, USA",40.9703795,-81.7585981,Rittman,OH,44270,(330) 925-4961,,https://maps.google.com/?cid=12479864027738305993,,,
ATM (Duke/Duchess Shoppe),atm,"265 W Main St, Smithville, OH 44677, USA",40.8621815,-81.8621555,Smithville,OH,44677,(330) 669-3390,,https://maps.google.com/?cid=16410379849027610262,,,
Huntington Bank,atm,"3754 Burbank Rd, Wooster, OH 44691, USA",40.8449592,-81.9441686,Wooster,OH,44691,(330) 263-2830,https://www.huntington.com/Community/branch-info?locationId=23416&cmpid=seo:local_listings:branch_info:na,https://maps.google.com/?cid=12495775732740284089,,,
The Commercial & Savings Bank,atm,"350 E Liberty St, Wooster, OH 44691, USA",40.7990724,-81.9354611,Wooster,OH,44691,(330) 263-1955,https://www.csb1.com/,https://maps.google.com/?cid=6922613504326282937,,,
Huntington Bank,atm,"215 Hostetler Rd, Orrville, OH 44667, USA",40.854191,-81.765446,Orrville,OH,44667,(330) 683-8008,https://www.huntington.com/Community/branch-info?locationId=23432&cmpid=seo:local_listings:branch_info:na,https://maps.google.com/?cid=15940517642971542390,,,
PNC Bank,atm,"101 W Market St, Orrville, OH 44667, USA",40.84076359999999,-81.7646496,Orrville,OH,44667,(330) 683-3055,https://apps.pnc.com/locator/location-details/ohio/orrville/44667/00448070/orrville-west?lnksrc=branch-listing-google,https://maps.google.com/?cid=622556638118948688,,,
Main Street Bank,atm,"1908 Cleveland Rd, Wooster, OH 44691, USA",40.823318,-81.93449799999999,Wooster,OH,44691,(330) 262-5988,http://mymainstreetbank.bank/,https://maps.google.com/?cid=1164237274956299294,,,
CoinFlip Bitcoin ATM - Bowman Beverage (Wooster),atm,"927 E Bowman St, Wooster, OH 44691, USA",40.80449589999999,-81.92713189999999,Wooster,OH,44691,(773) 800-0106,https://locations.coinflip.tech/us/oh/wooster/927-e-bowman-st?utm_source=gmb&utm_medium=yext,https://maps.google.com/?cid=3055054064711690846,,,
U.S. Bank ATM - Doylestown,atm,"53 Portage St, Doylestown, OH 44230, USA",40.9693986,-81.696597,Doylestown,OH,44230,(800) 872-2657,http://usbank.com/,https://maps.google.com/?cid=15990208247014289929,,,
Farmers National Bank,atm,"4192 Burbank Rd, Wooster, OH 44691, USA",40.85053899999999,-81.947541,Wooster,OH,44691,(330) 263-5303,https://www.farmersbankgroup.com/,https://maps.google.com/?cid=8391101457600558829,,,
ATM (Duke/Duchess Shoppe),atm,"10169 Avon Lake Rd, Burbank, OH 44214, USA",40.9954548,-81.9961379,Burbank,OH,44214,(330) 624-2701,,https://maps.google.com/?cid=4256650110016853627,,,
Main Street Bank,atm,"543 Riffel Rd # 1, Wooster, OH 44691, USA",40.851118,-81.9483395,Wooster,OH,44691,(330) 264-0722,http://mymainstreetbank.bank/,https://maps.google.com/?cid=12366045306721075562,,,
Cardtronics ATM,atm,"1051 High St, Wadsworth, OH 44281, USA",41.05156529999999,-81.7281953,Wadsworth,OH,44281,,,https://maps.google.com/?cid=150526766980194123,,,
Medina County Federal Credit Union,atm,"1353 Reimer Rd, Wadsworth, OH 44281, USA",41.0557535,-81.7361816,Wadsworth,OH,44281,(330) 334-1023,https://www.medfed.com/,https://maps.google.com/?cid=218666432880088178,,,
ATM,atm,"18575 Edwards Rd, Doylestown, OH 44230, USA",40.9598992,-81.65832,Doylestown,OH,44230,,,https://maps.google.com/?cid=11507636496129120775,,,
ATM,atm,"500 College St, Wadsworth, OH 44281, USA",41.02579860000001,-81.7444179,Wadsworth,OH,44281,,,https://maps.google.com/?cid=3052012758994708013,,,
Marathon Gas,gas_station,"2349 Akron Rd, Wooster, OH 44691, USA",40.8280368,-81.9082038,Wooster,OH,44691,(330) 262-0924,,https://maps.google.com/?cid=15813341479581627333,,,
